rms_mean,energy_std,zcr_mean,crest_factor,spectral_centroid,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_rolloff_mean,spectral_contrast,low_freq_ratio,mfcc_2,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,skewness,kurtosis,spectral_flatness_mean,chroma_mean,filename,sample_rate,is_abnormal
0.002741958,0.0054607308,0.19988037853923843,74.40262,22305.47228246859,22305.47228246859,3048.407598147901,16785.098258834976,34482.00745707482,10.465077063862948,0.057061393,54.03915,-545.3014,52.59923,54.03915,19.625965,0.12044377,17.73814,30.331034,12.916161,-18.621647,12.19666,10.256402,10.027457,-7.3238716,8.709257,-9.482992,9.43353,17.171577,8.012041,-15.512634,8.473714,2.045562,6.640098,4.050433,6.2766633,-5.349744,6.2905407,0.50050867,357.96323,0.027870797,0.61115646,172.16.174.252_01_20251222180416920.wav,192000,False
0.0024549607,0.0051721474,0.2005973600560076,75.359436,22436.03025672466,22436.03025672466,2780.26923472276,16964.401240227064,34860.34913398194,10.485068141236653,0.0524529,53.279404,-549.7802,50.600178,53.279404,17.666906,-1.738326,18.257704,30.660822,13.056665,-19.606853,12.745004,10.924556,9.645531,-5.245206,7.4387746,-8.735479,9.006327,18.069735,7.5079026,-13.406395,7.532974,2.326714,6.5105743,4.108865,6.4786468,-3.600201,7.0730853,0.6857,427.6992,0.029703997,0.62115705,172.16.174.252_01_20251222175909821.wav,192000,False
0.0027229644,0.005323479,0.20037435929232805,100.37297,22341.787611148033,22341.787611148033,2710.6919990439533,16660.048390319225,34370.142857142855,10.414924720237055,0.05184273,55.055054,-545.83765,50.873924,55.055054,16.906778,1.7037399,18.50502,31.760105,14.065732,-23.153233,14.084879,9.251084,11.609808,-4.4759426,7.928422,-8.804961,9.942575,17.163645,7.944079,-14.194907,7.8927307,3.648077,6.5068984,4.023314,6.5837884,-5.5480595,6.6700974,0.6161818,442.94644,0.026454987,0.63039076,172.16.174.252_01_20251222180548734.wav,192000,False
0.0018871869,0.002028244,0.17436227713799565,137.85535,22000.48519557139,22000.48519557139,3758.6822530838726,17876.615128281024,36066.41472677056,10.234441029105032,0.08253206,68.08666,-567.9146,45.34178,68.08666,20.689465,-7.1847024,17.89494,34.66559,13.539197,-22.965225,10.2596855,16.17007,8.282096,-5.2247252,7.7484016,-6.1903043,8.76939,14.852595,6.374342,-15.80932,7.8381343,5.006287,6.8522243,2.1812038,7.217951,-4.4373817,7.657456,1.1822989,647.46765,0.03390937,0.66160834,风扇2.wav,192000,True
0.002809919,0.005759256,0.19669373941040444,69.17062,22012.541994434232,22012.541994434232,2696.183214397355,16646.55203942506,34218.4147202967,10.409295457744378,0.054885656,53.988266,-536.20856,51.134624,53.988266,18.399338,0.3306958,19.19548,29.822945,14.823304,-19.635296,12.922512,8.486624,10.04487,-6.553964,7.9765234,-8.160729,8.530935,17.746195,7.4560018,-13.5698185,7.516361,2.1791043,6.5985017,3.2922757,7.240638,-6.5415897,6.8853354,1.266717,404.32028,0.025976721,0.6402272,172.16.174.252_01_20251222180223584.wav,192000,False
0.0024834636,0.0051172976,0.20621608826510776,68.5408,22537.71465390226,22537.71465390226,2544.3096152592498,16800.708779572848,34762.09175738725,10.248860188183107,0.049819905,52.45334,-546.229,49.709423,52.45334,15.949414,-2.8776622,18.58891,28.417408,12.8175125,-19.86323,12.381546,12.476786,9.764432,-3.0981836,6.98801,-8.579268,9.352196,16.173658,7.1180468,-13.502576,8.017888,5.9892807,6.0708795,6.640267,6.934273,-6.446075,6.253458,1.058649,469.79538,0.029934427,0.66862875,172.16.174.252_01_20251222180040298.wav,192000,False
0.0017887662,0.0015705237,0.21835236331821567,45.319347,23683.811910118908,23683.811910118908,3148.4294545941743,17358.069445352972,37049.36349816776,10.342303489263797,0.03948946,58.793873,-579.3415,48.661114,58.793873,17.944344,-20.898489,15.969282,38.26451,15.028719,-28.113438,9.205649,17.736982,8.182599,-15.503607,9.634445,-6.173836,9.4424515,12.604085,7.1024404,-12.936754,7.0306993,0.7735963,6.9950767,0.42171255,6.384078,-9.561039,6.9533677,0.10640692,38.51526,0.045262475,0.6565576,风扇.wav,192000,True
0.0017476948,0.0013432972,0.20543234414357683,91.82962,23174.382291929433,23174.382291929433,3243.034293369756,17317.55747971985,36201.6875074967,10.413288669613452,0.04132452,63.67046,-581.247,45.56943,63.67046,17.277994,-21.217777,14.028336,40.6819,15.181375,-37.342228,11.463136,14.092548,8.969673,-16.038939,7.4855604,-3.4460337,8.617809,9.34896,6.617111,-10.821483,7.0995464,2.4036582,6.642973,5.5981092,7.1668305,-7.7839937,7.680509,0.22474903,76.097916,0.040178947,0.58136964,滑轨.wav,192000,True
0.0017343892,0.0011611586,0.21538435602313885,52.328465,23550.216237679255,23550.216237679255,3012.835333347053,17088.75204352752,36726.511751505845,10.517036254046914,0.04141692,57.50875,-580.45355,48.764263,57.50875,15.722122,-25.163082,16.104586,44.388268,15.786369,-30.990828,11.657898,20.524345,8.260864,-16.750496,8.982076,-1.5835648,9.281662,13.169006,6.5030375,-7.9876204,6.5725365,1.8847486,6.925997,4.1243825,6.7213006,-9.351441,6.211065,0.111364104,33.168346,0.040716883,0.6449993,腰托.wav,192000,True
0.0026739957,0.0051155775,0.19783870243471768,71.149345,22374.643469537456,22374.643469537456,2752.4248736314003,16901.91236983727,34726.840135117964,10.395393479167064,0.05427259,51.765312,-546.50446,50.772755,51.765312,17.561127,-1.3466822,20.232203,30.036926,13.257021,-17.441568,13.800028,10.679862,10.618576,-6.351751,8.315511,-8.282911,9.149539,18.792986,7.605758,-12.056591,7.932985,4.3856254,6.3008966,5.2308416,6.6594825,-4.8984027,6.50872,0.052355215,363.4297,0.029147023,0.63913375,172.16.174.252_01_20251222180805160.wav,192000,False
